iter	Logloss
0	0.665173933
1	0.6430830025
2	0.6196893159
3	0.5995539412
4	0.5840601483
5	0.568025912
6	0.5562654485
7	0.5440931694
8	0.5337348548
9	0.5232436546
10	0.5132067037
11	0.5052296238
12	0.496390056
13	0.4890007002
14	0.4821551576
15	0.4762037601
16	0.4711224731
17	0.4659261894
18	0.4618232195
19	0.4577221164
20	0.4534932473
21	0.4503576359
22	0.4475219383
23	0.4438282422
24	0.4404509698
25	0.437684423
26	0.4355759182
27	0.4327386671
28	0.4311938977
29	0.4289284876
30	0.427050682
31	0.4264528974
32	0.4257563925
33	0.4238939798
34	0.4228634463
35	0.4213693001
36	0.4200469689
37	0.4186417346
38	0.4170592668
39	0.4156513074
40	0.4143908791
41	0.4131519397
42	0.4121967234
43	0.4107641601
44	0.4097090854
45	0.4087703125
46	0.4073663726
47	0.4059760868
48	0.404987095
49	0.4040388195
50	0.4034747342
51	0.4027077746
52	0.4019219835
53	0.4011784514
54	0.4001901471
55	0.3992038541
56	0.3980913015
57	0.3972040049
58	0.396567253
59	0.3961323338
60	0.3953669624
61	0.3945566905
62	0.3934910993
63	0.3931221873
64	0.3923853355
65	0.3921961601
66	0.3910667351
67	0.3909767892
68	0.38994069
69	0.3898324524
70	0.3892203537
71	0.3884293939
72	0.3877530519
73	0.387732668
74	0.3875875871
75	0.3869615931
76	0.3862384438
77	0.3861598709
78	0.3859591814
79	0.3848420192
80	0.3842760648
81	0.3837171741
82	0.3830557653
83	0.3826035185
84	0.3819853976
85	0.3814896167
86	0.3803806187
87	0.3798921545
88	0.3790815689
89	0.3785018866
90	0.3779690277
91	0.3776948079
92	0.3770695533
93	0.3770514429
94	0.3770336094
95	0.3761243778
96	0.3756313013
97	0.3750744265
98	0.3749041786
99	0.3743967346
