iter	Passed	Remaining
0	8	835
1	16	827
2	22	713
3	27	658
4	34	650
5	42	662
6	50	669
7	58	675
8	63	643
9	70	636
10	78	637
11	86	635
12	94	635
13	103	636
14	112	635
15	120	631
16	128	626
17	137	626
18	146	622
19	154	617
20	162	611
21	167	593
22	175	586
23	183	580
24	191	575
25	199	568
26	209	565
27	218	562
28	227	557
29	237	553
30	246	547
31	249	529
32	255	519
33	264	512
34	272	506
35	280	499
36	288	491
37	297	485
38	305	477
39	313	470
40	322	463
41	330	456
42	338	449
43	347	441
44	355	434
45	363	426
46	371	419
47	380	411
48	389	405
49	397	397
50	405	389
51	413	381
52	421	374
53	428	364
54	436	357
55	445	349
56	453	342
57	461	334
58	469	326
59	477	318
60	487	311
61	495	303
62	503	295
63	511	287
64	519	279
65	523	269
66	531	261
67	535	251
68	544	244
69	553	237
70	562	229
71	571	222
72	577	213
73	581	204
74	587	195
75	595	188
76	604	180
77	608	171
78	616	163
79	624	156
80	634	148
81	642	141
82	651	133
83	659	125
84	668	117
85	677	110
86	686	102
87	694	94
88	702	86
89	711	79
90	721	71
91	730	63
92	739	55
93	743	47
94	747	39
95	756	31
96	765	23
97	773	15
98	781	7
99	790	0
